namespace,node,nodepool,replicaset,owner_kind,instance_type,pods_count
default,ip-172-16-0-0.ec2.internal,default,default,Deployment,c6a.2xlarge,4
default,ip-172-16-0-1.ec2.internal,default,default,Deployment,c6a.2xlarge,4
default,ip-172-16-0-2.ec2.internal,default,default,Deployment,c6a.2xlarge,4
default,ip-172-16-0-3.ec2.internal,default,default,Deployment,c6a.2xlarge,4
default,ip-172-16-0-4.ec2.internal,default,default,Deployment,c6a.2xlarge,4
default,ip-172-16-0-5.ec2.internal,default,default,Deployment,c6a.2xlarge,4
default,ip-172-16-0-6.ec2.internal,default,default,Deployment,c6a.2xlarge,4
default,ip-172-16-0-7.ec2.internal,default,default,Deployment,c6a.2xlarge,4
default,ip-172-16-0-8.ec2.internal,default,default,Deployment,c6a.2xlarge,4
default,ip-172-16-0-9.ec2.internal,default,default,Deployment,c6a.2xlarge,4
