namespace,node,replicaset,owner_kind,instance_type,pods_count
activity-flow,ip-172-16-232-72.ec2.internal,otel-o11y-ob3-af-beta-opentelemetry-collector,Deployment,r7g.2xlarge,1
activity-flow,ip-172-16-232-72.ec2.internal,otel-o11y-ob3-af-stable-opentelemetry-collector,Deployment,r7g.2xlarge,1
activity-flow,ip-172-16-255-5.ec2.internal,otel-o11y-ob3-af-beta-opentelemetry-collector,Deployment,r7g.2xlarge,1
activity-flow,ip-172-16-255-5.ec2.internal,otel-o11y-ob3-af-stable-opentelemetry-collector,Deployment,r7g.2xlarge,1
activity-flow,ip-172-16-29-131.ec2.internal,otel-o11y-ob3-af-stable-opentelemetry-collector,Deployment,r7g.2xlarge,1
activity-flow,ip-172-16-52-88.ec2.internal,otel-o11y-ob3-af-beta-opentelemetry-collector,Deployment,r7g.2xlarge,1
activity-flow,ip-172-16-52-88.ec2.internal,otel-o11y-ob3-af-stable-opentelemetry-collector,Deployment,r7g.2xlarge,1
clickhouse,ip-172-16-20-71.ec2.internal,chi-clickhouse-signoz-ch-cluster-9-0,StatefulSet,c6g.8xlarge,1
clickhouse,ip-172-16-21-74.ec2.internal,chi-clickhouse-signoz-ch-cluster-4-1,StatefulSet,c6g.8xlarge,1
clickhouse,ip-172-16-21-89.ec2.internal,chi-clickhouse-signoz-ch-cluster-1-1,StatefulSet,c6g.8xlarge,1
clickhouse,ip-172-16-212-27.ec2.internal,chi-clickhouse-signoz-ch-cluster-7-1,StatefulSet,c6g.8xlarge,1
clickhouse,ip-172-16-214-155.ec2.internal,chi-clickhouse-events-ch-default-1-1,StatefulSet,c6a.8xlarge,1
clickhouse,ip-172-16-214-193.ec2.internal,chi-clickhouse-signoz-ch-cluster-1-0,StatefulSet,c6g.8xlarge,1
clickhouse,ip-172-16-215-238.ec2.internal,chi-clickhouse-signoz-ch-cluster-2-1,StatefulSet,c6g.8xlarge,1
clickhouse,ip-172-16-215-75.ec2.internal,chi-clickhouse-signoz-ch-cluster-6-0,StatefulSet,c6g.8xlarge,1
clickhouse,ip-172-16-216-109.ec2.internal,chi-clickhouse-signoz-ch-cluster-3-0,StatefulSet,c6g.8xlarge,1
clickhouse,ip-172-16-219-200.ec2.internal,chi-clickhouse-signoz-ch-cluster-4-0,StatefulSet,c6g.8xlarge,1
clickhouse,ip-172-16-219-52.ec2.internal,chi-clickhouse-signoz-ch-cluster-9-1,StatefulSet,c6g.8xlarge,1
clickhouse,ip-172-16-22-139.ec2.internal,chi-clickhouse-signoz-ch-cluster-0-1,StatefulSet,c6g.8xlarge,1
clickhouse,ip-172-16-222-99.ec2.internal,chi-clickhouse-signoz-ch-cluster-10-1,StatefulSet,c6g.8xlarge,1
clickhouse,ip-172-16-235-165.ec2.internal,chi-clickhouse-signoz-ch-cluster-8-1,StatefulSet,c6g.8xlarge,1
clickhouse,ip-172-16-238-142.ec2.internal,chi-clickhouse-events-ch-default-1-0,StatefulSet,c6a.8xlarge,1
clickhouse,ip-172-16-243-162.ec2.internal,chi-clickhouse-events-ch-default-0-1,StatefulSet,c6a.8xlarge,1
clickhouse,ip-172-16-248-196.ec2.internal,chi-clickhouse-signoz-ch-cluster-5-0,StatefulSet,c6g.8xlarge,1
clickhouse,ip-172-16-250-10.ec2.internal,chi-clickhouse-signoz-ch-cluster-10-0,StatefulSet,c6g.8xlarge,1
clickhouse,ip-172-16-33-36.ec2.internal,chi-clickhouse-signoz-ch-cluster-2-0,StatefulSet,r6g.12xlarge,1
clickhouse,ip-172-16-33-36.ec2.internal,clickhouse-operator,Deployment,r6g.12xlarge,1
clickhouse,ip-172-16-37-165.ec2.internal,chi-clickhouse-signoz-ch-cluster-8-0,StatefulSet,c6g.8xlarge,1
clickhouse,ip-172-16-39-166.ec2.internal,chi-clickhouse-signoz-ch-cluster-6-1,StatefulSet,c6g.8xlarge,1
clickhouse,ip-172-16-41-136.ec2.internal,chi-clickhouse-signoz-ch-cluster-7-0,StatefulSet,c6g.8xlarge,1
clickhouse,ip-172-16-46-76.ec2.internal,chi-clickhouse-signoz-ch-cluster-5-1,StatefulSet,c6g.8xlarge,1
clickhouse,ip-172-16-47-165.ec2.internal,chi-clickhouse-signoz-ch-cluster-3-1,StatefulSet,c6g.8xlarge,1
clickhouse,ip-172-16-55-66.ec2.internal,chi-clickhouse-events-ch-default-0-0,StatefulSet,c6a.8xlarge,1
clickhouse,ip-172-16-61-89.ec2.internal,chi-clickhouse-signoz-ch-cluster-0-0,StatefulSet,c6g.8xlarge,1
events,ip-172-16-241-210.ec2.internal,otel-o11y-ob3-janus-events-opentelemetry-collector,Deployment,r7g.2xlarge,3
events,ip-172-16-41-90.ec2.internal,otel-o11y-ob3-janus-events-opentelemetry-collector,Deployment,r7g.2xlarge,3
events,ip-172-16-55-5.ec2.internal,otel-o11y-ob3-janus-events-opentelemetry-collector,Deployment,r7g.2xlarge,2
events,ip-172-16-62-144.ec2.internal,otel-o11y-ob3-janus-events-opentelemetry-collector,Deployment,r7g.2xlarge,2
external-dns,ip-172-16-215-135.ec2.internal,external-dns,Deployment,c6g.8xlarge,1
external-dns-public,ip-172-16-215-135.ec2.internal,external-dns-public,Deployment,c6g.8xlarge,1
external-secrets,ip-172-16-208-30.ec2.internal,external-secrets-webhook,Deployment,c6a.2xlarge,1
external-secrets,ip-172-16-215-135.ec2.internal,external-secrets,Deployment,c6g.8xlarge,1
external-secrets,ip-172-16-215-135.ec2.internal,external-secrets-cert-controller,Deployment,c6g.8xlarge,1
grafana,ip-172-16-208-30.ec2.internal,grafana-vtex,Deployment,c6a.2xlarge,1
grafana,ip-172-16-242-174.ec2.internal,grafana-vtex,Deployment,c6a.2xlarge,1
grafana,ip-172-16-32-112.ec2.internal,grafana-vtex,Deployment,c6a.2xlarge,1
grafana,ip-172-16-35-108.ec2.internal,grafana-vtex-image-renderer,Deployment,c6a.xlarge,1
