pod,namespace,node
otel-o11y-ob3-af-beta-opentelemetry-collector-84c84c4d5f-csxd9,activity-flow,charming-varahamihira-70503986
otel-o11y-ob3-af-stable-opentelemetry-collector-58c47645d422m8n,activity-flow,charming-varahamihira-70503986
otel-o11y-ob3-af-stable-opentelemetry-collector-58c47645d45xbsk,activity-flow,hopeful-ptolemy-3563948079
otel-o11y-ob3-af-beta-opentelemetry-collector-84c84c4d5f-glwql,activity-flow,lucid-mcnulty-3857449060
otel-o11y-ob3-af-stable-opentelemetry-collector-58c47645d4plkg5,activity-flow,lucid-mcnulty-3857449060
otel-o11y-ob3-af-beta-opentelemetry-collector-84c84c4d5f-xp5w4,activity-flow,unruffled-dhawan-2843735942
otel-o11y-ob3-af-stable-opentelemetry-collector-58c47645d4wplts,activity-flow,unruffled-dhawan-2843735942
chi-clickhouse-signoz-ch-cluster-6-0-8989c49d7-k4hlf,clickhouse,agitated-carver-1370523190
clickhouse-signoz-ch-keeper-684bb4f848-5z5x9,clickhouse,happy-gauss-1339390596
chi-clickhouse-signoz-ch-cluster-1-0-cf557896-h9ktw,clickhouse,boring-cori-657194125
clickhouse-signoz-ch-keeper-684bb4f848-7brjz,clickhouse,naughty-jemison-1313053414
chi-clickhouse-signoz-ch-cluster-8-0-7c667b479c-xld4v,clickhouse,elastic-gauss-2184312952
chi-clickhouse-signoz-ch-cluster-4-0-d56b86b77-nxwmc,clickhouse,gifted-mcnulty-119842540
chi-clickhouse-signoz-ch-cluster-9-0-7b58c6d66d-m6x7l,clickhouse,great-franklin-2258254203
chi-clickhouse-signoz-ch-cluster-3-0-7db6d5d6f4-xgjr8,clickhouse,jovial-bell-3246318078
chi-clickhouse-signoz-ch-cluster-10-0-695bc66fdb-wcbjv,clickhouse,nice-cartwright-2993549939
chi-clickhouse-signoz-ch-cluster-2-0-6cd579c6c9-rr59w,clickhouse,sleepy-allen-2805781833
clickhouse-signoz-ch-keeper-684bb4f848-w9cz7,clickhouse,jovial-haibt-3338707627
chi-clickhouse-signoz-ch-cluster-0-0-86f69cbd89-tnlwm,clickhouse,sweet-hodgkin-725600987
clickhouse-operator-868cc7fd85-pc545,clickhouse,distracted-goldstine-1483985141
chi-clickhouse-signoz-ch-cluster-5-0-7c54457d76-sxst2,clickhouse,unruffled-bartik-2181743036
chi-clickhouse-signoz-ch-cluster-7-0-6ff8ff85f4-vszvb,clickhouse,vibrant-goldstine-3142994550
otel-o11y-ob3-janus-events-opentelemetry-collector-78548984fwg5,events,awesome-chandrasekhar-2857727545
