namespace,node,nodepool,replicaset,owner_kind,instance_type,pods_count
activity-flow,ip-172-16-59-148.ec2.internal,activity-flow,otel-o11y-ob3-af-beta-opentelemetry-collector-55fcc786c6,Deployment,r7g.2xlarge,2
activity-flow,ip-172-16-59-148.ec2.internal,activity-flow,otel-o11y-ob3-af-stable-opentelemetry-collector-7f69d9fcc,Deployment,r7g.2xlarge,2
activity-flow,ip-172-16-62-185.ec2.internal,activity-flow,otel-o11y-ob3-af-beta-opentelemetry-collector-55fcc786c6,Deployment,r7g.2xlarge,1
activity-flow,ip-172-16-62-185.ec2.internal,activity-flow,otel-o11y-ob3-af-stable-opentelemetry-collector-7f69d9fcc,Deployment,r7g.2xlarge,2
clickhouse,ip-172-16-213-58.ec2.internal,clickhouse,chi-clickhouse-signoz-ch-cluster-1-0,StatefulSet,c6a.8xlarge,1
clickhouse,ip-172-16-218-152.ec2.internal,clickhouse,chi-clickhouse-signoz-ch-cluster-2-1,StatefulSet,c6a.8xlarge,1
clickhouse,ip-172-16-226-163.ec2.internal,default,clickhouse-signoz-ch-keeper,StatefulSet,c6a.xlarge,1
clickhouse,ip-172-16-227-136.ec2.internal,clickhouse,chi-clickhouse-signoz-ch-cluster-0-1,StatefulSet,c6a.8xlarge,1
clickhouse,ip-172-16-229-178.ec2.internal,clickhouse,chi-clickhouse-signoz-ch-cluster-4-0,StatefulSet,c6a.8xlarge,1
clickhouse,ip-172-16-24-120.ec2.internal,clickhouse,chi-clickhouse-signoz-ch-cluster-1-1,StatefulSet,c6a.8xlarge,1
clickhouse,ip-172-16-247-131.ec2.internal,clickhouse,chi-clickhouse-signoz-ch-cluster-5-1,StatefulSet,c6a.8xlarge,1
clickhouse,ip-172-16-25-225.ec2.internal,default,clickhouse-signoz-ch-keeper,StatefulSet,c6a.xlarge,1
clickhouse,ip-172-16-250-69.ec2.internal,clickhouse,chi-clickhouse-signoz-ch-cluster-6-0,StatefulSet,c6a.8xlarge,1
clickhouse,ip-172-16-251-243.ec2.internal,clickhouse,chi-clickhouse-signoz-ch-cluster-6-1,StatefulSet,c6a.8xlarge,1
clickhouse,ip-172-16-253-135.ec2.internal,clickhouse,chi-clickhouse-signoz-ch-cluster-3-0,StatefulSet,c6a.8xlarge,1
clickhouse,ip-172-16-253-135.ec2.internal,clickhouse,clickhouse-operator-56576cdb74,Deployment,c6a.8xlarge,1
clickhouse,ip-172-16-253-96.ec2.internal,clickhouse,chi-clickhouse-signoz-ch-cluster-3-1,StatefulSet,c6a.8xlarge,1
clickhouse,ip-172-16-35-198.ec2.internal,clickhouse,chi-clickhouse-signoz-ch-cluster-2-0,StatefulSet,c6a.8xlarge,1
clickhouse,ip-172-16-42-62.ec2.internal,default,clickhouse-signoz-ch-keeper,StatefulSet,c6a.xlarge,1
clickhouse,ip-172-16-44-130.ec2.internal,clickhouse,chi-clickhouse-signoz-ch-cluster-7-1,StatefulSet,c6a.8xlarge,1
clickhouse,ip-172-16-54-178.ec2.internal,clickhouse,chi-clickhouse-signoz-ch-cluster-5-0,StatefulSet,c6a.8xlarge,1
