pod,namespace,node
otel-o11y-ob3-af-beta-opentelemetry-collector-d9c75dbc8-pj9nw,activity-flow,goofy-khayyam-1256882651
otel-o11y-ob3-af-beta-opentelemetry-collector-d9c75dbc8-pnmtj,activity-flow,goofy-khayyam-1256882651
otel-o11y-ob3-af-stable-opentelemetry-collector-6fd65548456zqjv,activity-flow,goofy-khayyam-1256882651
otel-o11y-ob3-af-stable-opentelemetry-collector-6fd65548458jd6n,activity-flow,goofy-khayyam-1256882651
otel-o11y-ob3-af-beta-opentelemetry-collector-d9c75dbc8-qr8lk,activity-flow,jovial-aryabhata-1186804848
otel-o11y-ob3-af-stable-opentelemetry-collector-6fd6554845gvnx9,activity-flow,jovial-aryabhata-1186804848
otel-o11y-ob3-af-stable-opentelemetry-collector-6fd6554845ps26x,activity-flow,jovial-aryabhata-1186804848
chi-clickhouse-signoz-ch-cluster-1-0-749fb5476d-76m8n,clickhouse,affectionate-herschel-1681855377
chi-clickhouse-signoz-ch-cluster-2-1-655cc4f74-797sm,clickhouse,agitated-cray-142369536
clickhouse-signoz-ch-keeper-68d7b8954f-6hhk9,clickhouse,competent-herschel-3839959428
chi-clickhouse-signoz-ch-cluster-0-1-5b44b44f68-5gtn9,clickhouse,beautiful-wilbur-3330969786
chi-clickhouse-signoz-ch-cluster-4-0-6f567b795f-vrb67,clickhouse,competent-golick-980012993
chi-clickhouse-signoz-ch-cluster-1-1-5f4fb9f76c-2hmr9,clickhouse,cranky-driscoll-2192747876
chi-clickhouse-signoz-ch-cluster-5-1-85c4cb65f-26xbv,clickhouse,epic-cray-3554529744
clickhouse-signoz-ch-keeper-68d7b8954f-6qvxs,clickhouse,condescending-margulis-4038316433
chi-clickhouse-signoz-ch-cluster-6-0-6f46bb7d7c-hqxdz,clickhouse,fervent-noyce-2930263325
chi-clickhouse-signoz-ch-cluster-6-1-86b667cf46-b5n6q,clickhouse,friendly-wing-781832131
chi-clickhouse-signoz-ch-cluster-3-0-66dcb4b594-pkk4b,clickhouse,magical-cori-4040873150
clickhouse-operator-7f67d5d5d6-4744p,clickhouse,magical-cori-4040873150
chi-clickhouse-signoz-ch-cluster-3-1-86df8b4497-nplvc,clickhouse,modest-clarke-1102351266
chi-clickhouse-signoz-ch-cluster-2-0-d984fccc-f74rs,clickhouse,nervous-tesla-2823528244
clickhouse-signoz-ch-keeper-68d7b8954f-qbtwt,clickhouse,confident-hermann-2515440957
chi-clickhouse-signoz-ch-cluster-7-1-9cdcd677c-hpbls,clickhouse,recursing-northcutt-2514860937
chi-clickhouse-signoz-ch-cluster-5-0-65d7d5c5c6-zx9wm,clickhouse,stupefied-euler-2777399300
chi-clickhouse-signoz-ch-cluster-4-1-58566cccd8-v7xsr,clickhouse,upbeat-elion-597405258
chi-clickhouse-signoz-ch-cluster-0-0-65477569cf-l8tdw,clickhouse,xenodochial-mendeleev-1971659332
chi-clickhouse-signoz-ch-cluster-7-0-d9b54645d-hgf9w,clickhouse,zealous-euler-3679669323
otel-o11y-ob3-janus-events-opentelemetry-collector-7688b694mj5z,events,boring-albattani-2415274765
